Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
12609433,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,"Duhigg, Charles",,"=""1400069289""","=""9781400069286""",4,4.11,Random House,Hardcover,375,2012,2012,2018/12/26,2017/10/30,"owned, virtualo, 2018","owned (#187), virtualo (#9), 2018 (#2)",read,,,,1,,,0,,,,,
15847933,Confident Ruby,Avdi Grimm,"Grimm, Avdi",,"=""""","=""""",5,4.39,,ebook,296,2012,2012,2018/12/30,2018/07/11,"software-development-growth, 2018","software-development-growth (#16), 2018 (#1)",read,,,,1,,,0,,,,,
31817750,Król,Szczepan Twardoch,"Twardoch, Szczepan",,"=""8308062245""","=""9788308062241""",4,4.23,Wydawnictwo Literackie,Paperback,432,2016,2016,2019/01/06,2017/08/15,2019,2019 (#3),read,,,,1,,,0,,,,,
34890015,Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,Hans Rosling,"Rosling, Hans","Ola Rosling, Anna Rosling Rönnlund","=""1473637465""","=""9781473637467""",4,4.35,Sceptre,Hardcover,342,2018,2018,2019/01/10,2018/12/20,"owned, woblink, 2019","owned (#188), woblink (#121), 2019 (#2)",read,,,,1,,,0,,,,,
42166718,Królestwo,Szczepan Twardoch,"Twardoch, Szczepan",,"=""8308068006""","=""9788308068007""",4,4.07,Wydawnictwo Literackie,Hardcover,352,2018,2018,2019/01/16,2019/01/06,"owned, audioteka, 2019","owned (#193), audioteka (#1), 2019 (#1)",read,,,,1,,,0,,,,,
16790,Smoke and Mirrors: Short Fiction and Illusions,Neil Gaiman,"Gaiman, Neil",,"=""0380789027""","=""9780380789023""",0,4.01,Avon Books,Mass Market Paperback,365,2020,1998,,2019/01/17,"papier, owned","papier (#14), owned (#213)",read,,,,1,,,0,,,,,
16793,Stardust,Neil Gaiman,"Gaiman, Neil",,"=""0061142026""","=""9780061142024""",0,4.08,Harper Perennial,Paperback,248,2006,1998,,2019/01/17,"papier, owned","papier (#13), owned (#212)",read,,,,1,,,0,,,,,
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"Pratchett, Terry",Neil Gaiman,"=""""","=""""",0,4.24,William Morrow,Mass Market Paperback,491,2006,1990,,2019/01/17,,,read,,,,1,,,0,,,,,
386372,"Mort (Discworld, #4; Death, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0061020680""","=""9780061020681""",0,4.21,Harpertorch,Mass Market Paperback,243,2001,1987,,2019/01/17,"to-read, owned, publio","to-read (#451), owned (#211), publio (#30)",to-read,,,,0,,,0,,,,,
34499,"Sourcery (Discworld, #5; Rincewind #3)",Terry Pratchett,"Pratchett, Terry",,"=""0061020672""","=""9780061020674""",0,3.89,Harper,Mass Market Paperback,276,2008,1988,,2019/01/17,"to-read, owned, publio","to-read (#450), owned (#210), publio (#29)",to-read,,,,0,,,0,,,,,
